,Month,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
728,best chat bot,27.25,19.5,8.4,5.75,63.5,56.4,57.75,60.75,78.4,61.75,52.0,57.8
729,gpt chatbot,0.25,0.25,0.2,2.5,83.25,88.4,76.25,64.25,53.4,32.25,25.25,21.4
730,chat bot gbt,0.0,4.5,0.0,6.5,45.75,35.4,25.0,35.0,28.2,27.0,22.75,11.2
731,bard chat bot,9.5,0.0,3.4,5.0,12.5,3.0,49.75,42.0,44.4,36.0,36.0,15.0
732,gpt 4,0.0,0.0,0.0,0.0,1.0,1.8,2.25,59.25,31.8,20.0,15.5,13.6
733,my all snapchat bot delete,0.0,3.75,5.0,2.0,0.0,0.0,0.0,1.75,20.0,2.5,4.5,2.0
734,my al,34.0,31.5,33.4,33.0,31.75,34.4,37.5,37.5,54.8,39.0,37.0,34.4
735,how to get rid of my all snapchat bot,13.0,7.0,5.8,0.0,8.0,12.8,0.0,0.0,20.0,21.0,7.75,18.2
736,discord c.ai,0.0,7.5,11.6,18.0,0.0,14.2,0.0,5.0,42.4,39.0,26.75,47.2
737,cai,61.5,60.0,58.8,59.5,56.5,75.4,70.25,67.25,67.4,62.75,66.5,72.4
738,new york times ai chat bot,0.0,0.0,10.0,7.5,12.0,0.0,44.0,10.25,12.0,26.5,0.0,28.2
739,sia the bot poker,7.75,18.75,20.0,21.75,7.25,22.6,6.5,0.0,10.2,16.0,24.25,21.4
740,sashimi poker,1.75,1.0,2.2,1.25,42.75,3.4,3.0,3.5,1.2,4.25,1.75,13.4
741,open chat,14.75,12.75,12.6,16.75,83.5,82.0,67.75,71.25,71.2,59.75,47.5,44.2
742,ai open chat,0.5,0.5,0.0,3.25,77.25,70.2,50.75,56.5,55.0,44.25,30.0,25.0
743,open gpt,1.0,0.75,0.8,4.0,74.0,84.6,69.5,85.25,88.2,68.25,48.75,43.8
744,gpt open ai,0.5,0.5,0.6,4.25,71.0,81.4,62.75,81.75,82.4,61.5,44.0,38.8
745,chat open ai gpt,0.0,0.25,0.4,1.75,62.5,79.0,59.75,73.0,74.0,57.5,38.75,32.8
746,what is open ai,5.25,6.0,6.4,6.5,59.25,70.0,70.75,70.75,79.0,66.0,49.25,51.2
747,open api,52.5,44.5,45.6,47.25,60.25,69.0,76.25,88.25,93.4,82.0,89.5,74.4
748,open stock,27.5,21.5,24.6,35.75,42.5,38.8,30.5,23.5,29.0,24.75,37.5,27.4
749,google open ai,5.5,7.0,7.2,8.5,42.0,52.6,69.5,63.75,68.6,55.5,43.5,34.6
750,open ai api,2.0,2.75,6.2,5.0,30.0,34.6,42.25,76.0,89.8,64.5,76.25,43.6
751,open source ai,24.5,27.75,28.2,24.75,54.0,57.8,64.0,67.5,80.0,89.5,78.25,61.0
752,chatgpt openai,0.25,0.0,0.0,3.0,48.0,61.2,73.0,79.25,74.8,60.25,37.25,30.6
753,chat gpt open ai login,3.5,2.75,4.8,3.5,18.0,64.0,47.75,66.5,72.4,40.75,23.25,17.6
754,open ai chat gtp,3.75,0.0,0.0,5.0,57.25,59.2,38.5,21.0,9.2,5.75,2.75,3.4
755,chatgpt open ai app,0.0,2.0,0.0,0.0,11.0,26.0,21.25,29.0,36.2,63.0,31.5,16.8
756,chatgpt app,0.0,0.0,0.0,0.25,16.5,64.2,74.5,54.75,65.0,63.0,40.75,36.4
757,openai login,1.25,1.0,0.6,1.25,16.25,28.0,47.5,77.25,80.0,61.75,39.75,27.4
758,open ai chat gbt,3.25,0.0,0.0,3.25,65.25,56.4,45.0,36.0,23.0,31.5,14.0,29.0
759,chat gpt app,0.25,0.25,0.2,0.0,80.5,70.0,67.0,76.25,78.8,62.75,43.5,38.2
760,chat gpt api,1.0,0.75,0.0,1.75,31.75,55.4,60.0,90.75,80.8,58.75,48.5,34.4
761,open ai detector,0.0,0.0,2.4,9.0,12.5,36.0,65.75,61.5,58.0,60.0,15.75,10.0
762,openai chatgpt,0.25,0.0,0.2,2.75,49.0,60.8,75.25,78.5,73.0,60.25,36.75,33.2
763,openai gpt,0.75,2.0,2.4,5.75,72.25,77.4,64.75,87.75,72.4,51.75,35.75,29.0
764,openai gpt chat,0.0,0.25,0.4,2.75,58.5,77.4,61.75,74.0,60.2,44.5,28.5,22.6
765,chat gpt openai,0.5,0.25,0.2,2.25,54.5,75.4,58.75,73.0,61.0,43.5,27.75,20.6
766,api,77.25,74.0,76.2,70.5,68.0,81.8,90.0,88.75,87.2,83.25,92.25,78.2
767,openai api,1.0,1.5,3.2,5.5,20.75,26.8,44.5,82.25,89.8,75.0,74.25,59.8
768,login openai,1.25,1.0,0.6,1.25,16.25,28.0,47.5,77.25,80.0,61.75,39.75,27.4
769,open,56.0,61.0,43.4,50.75,59.25,51.4,47.25,45.0,48.2,50.0,62.75,60.4
770,playground openai,12.0,17.0,24.2,26.5,66.0,69.4,78.75,90.25,64.0,37.75,21.75,17.4
771,playground,50.5,65.25,64.4,56.5,58.5,71.8,78.25,73.75,76.6,86.0,51.5,45.0
772,what is openai,1.5,2.5,8.4,9.5,69.75,83.8,83.25,79.5,79.4,59.75,51.0,42.0
773,openai stock,0.25,1.5,1.8,2.75,34.75,64.2,51.25,37.75,23.0,24.25,18.5,13.8
774,openai chatgpt login,1.75,0.5,0.8,1.0,9.75,20.2,49.25,75.75,81.4,54.25,31.25,18.0
775,openai python,5.75,7.75,13.6,13.5,46.25,52.8,62.5,75.0,90.4,68.75,76.25,62.4
776,openai free,4.75,5.25,7.0,12.5,52.0,67.6,60.75,69.0,85.4,78.75,77.75,49.4
777,openai app,0.75,1.0,0.4,1.0,13.25,27.0,23.25,26.5,28.4,44.0,17.75,18.4
778,chat openai login,1.0,0.0,1.6,0.75,20.75,54.0,63.25,80.75,76.8,62.0,36.0,22.2
779,chat gpt openai login,0.0,0.75,0.0,0.0,17.0,56.6,56.75,78.75,65.4,49.0,30.5,20.4
780,openai chatgpt api,0.0,1.25,2.0,2.25,26.5,31.4,59.5,94.5,88.4,61.25,56.25,36.8
781,whisper openai,0.0,21.0,26.4,19.25,28.25,29.8,32.25,49.75,40.4,29.25,33.0,37.8
782,chatgpt playground,1.25,0.0,1.6,2.5,42.0,53.2,71.75,75.75,66.8,41.75,23.75,17.0
783,chatgpt stock,0.25,0.25,0.0,0.0,19.0,51.2,66.5,44.5,44.0,40.0,33.25,27.8
784,openai chatbot gpt,0.0,4.75,3.8,5.0,70.0,43.4,33.75,25.5,15.2,6.0,9.25,2.2
785,openai chat gpt app,9.5,0.0,4.6,6.25,26.25,50.8,50.5,57.0,49.2,39.0,25.25,34.8
786,openai plugins,1.25,0.0,0.0,2.5,1.5,1.8,3.0,48.0,42.4,57.0,15.25,9.6
787,openai 注册,2.25,5.25,3.0,4.5,16.75,8.8,66.5,54.5,37.0,34.25,10.25,1.2
788,chat gpt playground,0.0,0.5,0.0,1.75,47.0,65.4,67.0,72.25,47.2,24.0,14.5,13.2
789,openai detector,0.0,7.25,4.2,2.25,13.0,22.0,49.75,55.5,65.6,27.25,14.0,15.4
790,chatgpt 4,0.0,0.0,0.0,0.0,3.25,5.8,9.25,73.25,67.8,46.75,35.0,32.0
791,midjourney art,67.25,28.5,14.6,13.25,28.25,33.6,31.75,31.0,35.0,30.75,26.75,29.6
792,midjourney ai art,65.5,23.5,12.4,11.25,23.75,29.2,24.25,24.0,27.4,22.5,19.75,19.8
793,ai art midjourney,66.5,24.25,12.4,11.25,25.25,29.4,26.0,24.75,27.4,22.5,20.5,21.6
794,use midjourney,27.0,20.25,12.0,17.25,27.5,36.8,45.25,67.25,76.2,66.25,60.25,45.2
795,midjourney prompt,12.25,16.25,9.6,13.25,20.25,29.8,43.25,63.5,76.2,76.5,69.5,60.6
796,midjourney free,18.5,14.0,12.0,10.0,25.0,34.8,38.5,58.0,84.8,85.0,77.5,70.0
797,midjourney prompts,12.0,16.25,11.8,10.75,28.75,37.6,52.75,71.5,80.2,86.25,74.75,65.6
798,ai art generator midjourney,58.5,41.5,25.4,20.5,44.0,51.6,39.0,44.5,53.2,42.0,39.0,30.8
799,midjourney images,21.75,15.25,9.2,13.0,23.75,36.0,43.75,68.25,75.0,70.75,58.75,57.6
800,midjourney art generator,61.0,43.25,25.2,22.5,43.25,55.6,43.25,44.75,54.6,45.25,38.5,35.2
801,midjourney how to use,28.0,21.25,14.2,16.25,25.5,35.0,42.75,68.75,75.4,64.25,59.5,45.0
802,image ai,47.0,35.0,35.8,35.5,63.5,49.2,56.0,64.75,85.4,89.5,86.5,88.2
803,what is midjourney,24.0,19.75,10.6,11.0,22.5,39.0,38.75,56.25,68.8,61.25,51.25,61.8
804,midjourney ai free,16.0,15.75,10.8,8.75,23.0,37.4,35.75,52.5,82.8,84.75,79.25,69.0
805,midjourney image generator,40.25,22.0,9.8,9.5,25.5,28.6,35.5,59.5,76.0,74.0,67.0,62.6
806,midjourney v5,0.0,0.5,1.4,0.25,0.25,1.2,0.5,67.5,26.8,11.25,7.5,5.6
807,midjourney styles,25.25,27.0,11.0,14.0,29.25,46.8,51.75,54.0,69.0,80.5,71.25,42.6
808,midjourney seed,11.75,10.0,7.8,7.25,8.25,15.6,37.5,51.75,44.8,41.0,39.75,37.0
809,midjourney v4,2.5,1.75,3.8,81.25,53.0,38.4,33.25,28.25,17.2,12.25,5.5,17.6
810,best midjourney prompts,7.0,7.0,3.4,6.0,2.75,9.8,16.0,17.25,22.4,25.25,11.0,32.0
811,midjourney vs stable diffusion,4.0,12.0,16.0,9.25,23.75,23.8,18.75,54.75,51.6,33.0,22.25,19.8
812,midjourney examples,12.75,6.5,4.6,2.5,15.5,27.0,28.0,64.25,74.4,52.0,50.25,25.6
813,best ai image generator,19.75,16.5,21.8,20.0,40.5,45.4,44.5,58.25,85.8,81.75,79.5,77.6
814,midjourney art styles,30.0,28.0,21.0,16.0,20.25,44.2,41.0,53.0,54.2,47.0,66.0,16.4
815,cancel midjourney subscription,11.0,6.25,8.4,1.5,7.25,10.6,9.75,30.75,25.8,14.0,19.0,36.0
816,翻译,76.75,82.0,86.6,80.75,71.75,61.8,92.25,95.5,89.2,95.75,93.0,87.4
817,upload image to midjourney,0.0,5.25,3.2,4.0,16.5,34.0,56.25,43.0,40.4,60.5,45.25,29.4
818,midjourney niji,0.0,0.0,0.0,11.25,25.5,47.6,26.25,13.0,39.0,53.25,76.75,30.4
819,midjourney v5 ai,0.0,0.5,0.6,0.0,1.25,0.6,1.75,37.0,9.0,2.5,2.5,11.2
820,jasper,94.0,85.5,88.0,76.0,85.75,86.8,86.75,91.5,91.0,89.5,94.75,94.6
821,midjourney blend,3.75,5.5,13.4,2.5,6.5,25.4,13.0,38.0,44.8,35.5,25.0,49.0
822,image weight midjourney,22.0,18.0,8.6,14.0,32.25,20.2,32.5,37.25,36.8,30.5,60.75,26.6
823,midjourney 教程,0.0,0.0,0.0,5.75,0.0,2.8,7.25,53.25,51.0,35.5,22.5,6.6
824,free midjourney alternative,6.75,2.0,0.0,8.0,2.75,1.8,8.75,21.25,22.8,18.5,12.25,26.8
825,midjourney tutorial,26.25,4.75,17.8,35.25,0.0,9.0,14.25,42.5,35.6,44.25,21.0,10.2
826,discord midjourney bot,44.5,20.5,9.4,12.75,12.0,18.4,18.25,19.25,21.8,17.25,8.75,12.0
827,midjourney ai bot,59.0,23.0,8.4,15.5,9.75,14.4,13.0,22.5,12.4,19.0,7.5,4.8
828,midjourney ai discord,63.75,52.25,20.8,24.25,36.75,42.6,59.0,63.75,62.4,61.25,48.5,40.2
829,ai art bot,49.25,16.0,14.2,12.75,30.75,20.6,24.75,21.75,23.8,17.25,12.75,9.2
830,ai art,16.0,18.0,17.6,20.75,54.0,28.6,27.25,26.25,29.2,27.25,22.5,22.2
831,midjourney discord server,50.25,18.5,14.8,12.0,8.5,32.6,18.0,41.25,47.6,39.25,42.0,24.4
832,add midjourney bot to discord,51.0,26.75,20.0,8.75,6.25,23.8,25.5,31.25,21.8,23.75,24.25,7.6
833,midjourney bot invite,41.75,22.5,11.2,16.5,0.0,3.8,25.0,24.5,8.6,18.5,10.25,10.0
834,ai art discord bot,57.25,30.25,3.6,6.5,18.25,24.4,21.0,12.0,18.2,14.25,16.5,10.6
835,how to use midjourney,28.0,21.25,14.2,16.25,25.5,35.0,42.75,68.75,75.4,64.25,59.5,44.4
836,how to add midjourney bot to discord,27.25,22.0,20.4,21.75,24.5,10.0,32.5,34.5,20.0,17.75,31.0,6.6
837,midjourney ai art generator,58.5,41.5,25.4,20.5,44.0,51.6,39.0,44.5,53.2,42.0,39.0,30.2
838,midjourney discord bot invite,12.5,4.0,13.2,5.0,0.0,3.2,7.5,0.0,12.4,33.0,0.0,7.4
839,midjourney bot commands,0.0,7.25,4.8,0.0,1.75,3.0,6.25,0.0,2.0,6.0,0.0,20.0
840,midjourney commands,62.5,51.25,16.4,9.0,18.75,45.4,34.5,43.75,61.4,51.75,30.0,26.6
841,midjourney api,7.0,11.75,6.2,0.0,19.5,24.8,29.25,74.25,57.6,63.0,36.75,43.0
842,midjourney subscription,20.75,13.25,8.4,13.75,20.75,32.0,29.75,48.25,69.8,49.5,42.75,42.8
843,midjourney bot not responding,11.0,41.75,10.2,8.5,0.0,0.0,0.0,25.0,21.2,9.25,0.0,0.0
844,stable diffusion discord bot,0.0,16.75,45.2,0.0,22.0,34.0,20.5,32.25,27.6,32.25,35.0,14.0
845,midjourney bot the application did not respond,13.0,0.0,8.2,0.0,18.5,7.6,30.25,0.0,4.6,14.0,8.75,0.0
846,midjourney prompt generator,16.75,39.75,15.0,5.75,24.0,11.6,34.25,66.0,63.8,66.75,51.75,35.4
847,midjourney pricing,21.5,14.25,0.0,0.0,30.25,43.6,43.5,51.5,75.2,53.5,54.5,34.6
848,free ai art generator,21.25,27.5,35.6,39.0,78.25,71.2,67.5,65.75,91.0,93.0,92.0,87.8
849,craiyon,84.5,53.25,34.4,27.25,28.5,25.2,27.0,22.25,24.2,22.75,17.5,15.6
850,ai generated images,44.75,30.25,29.0,35.5,56.25,34.4,34.75,40.25,46.0,45.0,35.25,39.6
851,nero bot commands,2.25,0.0,0.0,0.0,3.0,2.6,2.0,12.75,2.0,5.75,5.5,28.8
852,nyt,53.0,52.5,52.8,58.0,58.0,58.2,60.5,59.5,65.8,63.75,74.0,95.8
853,nyt wordle,87.75,86.75,86.0,86.25,89.25,85.4,83.5,81.0,81.4,79.5,83.25,94.0
854,wordle nyt,83.0,80.0,80.2,78.5,85.0,78.2,81.75,75.75,75.2,74.25,78.0,87.8
855,wordle words,78.25,71.0,75.0,71.5,72.25,74.0,79.5,65.75,75.4,70.5,60.0,49.4
856,wordle today,95.5,81.75,77.8,67.0,66.5,61.0,64.5,54.25,57.8,58.0,56.0,47.0
857,nytimes,89.25,81.25,79.0,89.5,86.25,79.6,80.5,78.0,76.2,78.75,78.25,73.0
858,nytimes wordle,91.75,72.0,76.0,71.0,69.25,68.2,70.75,67.0,64.0,61.75,61.25,54.2
859,word,77.0,88.25,88.0,80.75,82.25,85.8,94.25,83.5,81.6,79.75,71.0,61.4
860,word bot,62.0,58.0,61.4,46.75,61.75,71.4,68.75,60.0,67.6,59.5,39.25,35.0
861,wordle game,88.75,78.0,72.4,65.25,65.25,58.0,56.5,54.0,52.2,54.25,52.0,58.2
862,wordle bot free,54.25,45.75,17.8,9.75,21.25,6.2,15.25,10.0,13.4,20.0,24.75,7.6
863,quordle wordle,95.75,93.0,88.0,87.5,88.5,84.0,86.75,88.5,90.2,86.25,89.5,76.2
864,quordle,96.0,86.25,83.8,81.25,82.25,80.2,85.0,87.25,84.4,85.5,87.5,78.0
865,wordle hint,58.5,56.5,63.4,57.75,69.5,63.2,80.75,67.25,83.8,82.25,78.75,71.0
866,wordle solver,66.25,66.5,74.2,72.5,77.0,79.4,90.5,77.0,82.4,92.0,89.5,78.2
867,spelling bee,49.0,50.5,53.2,59.5,62.5,65.0,67.0,62.5,66.4,76.5,63.5,59.4
868,new york times wordle bot,59.0,36.5,48.0,18.0,11.75,22.2,7.25,36.25,15.8,0.0,9.0,8.8
869,new york times,86.0,86.5,84.8,86.0,86.5,82.4,84.25,76.75,75.4,74.5,72.5,70.4
870,new york times wordle,96.5,88.25,87.8,79.5,79.0,78.0,75.5,74.25,71.6,68.75,69.25,62.4
871,wordle new york times,90.75,83.0,82.6,74.25,74.25,72.8,74.0,66.0,66.0,65.75,63.75,63.0
872,5 letter words,82.0,69.75,72.4,67.75,73.25,69.8,76.0,64.25,72.6,67.25,63.75,51.4
873,nyt wordle today,95.75,86.0,84.4,77.25,81.25,74.6,75.0,70.0,68.4,68.5,67.5,68.4
874,wordle answer,83.0,74.25,78.6,71.25,79.0,69.4,91.75,76.25,84.6,86.0,74.75,73.4
875,what is wordle bot,3.0,0.0,4.4,3.25,1.5,3.6,1.5,2.25,0.8,1.5,1.25,21.4
876,wordle bot 2.0,18.0,2.25,1.0,0.0,1.75,6.0,3.5,2.75,0.0,3.25,12.5,23.6
877,connections,13.75,14.0,13.8,12.5,11.5,13.2,15.25,13.5,13.0,13.25,31.0,79.8
878,connections nyt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75,81.6
879,cowordle,0.25,0.5,0.0,0.5,0.25,0.4,0.5,0.25,17.0,68.25,81.0,56.6
880,contexto,2.25,3.0,13.6,48.5,66.5,70.4,62.75,61.25,52.4,59.25,47.75,36.0
881,the password game,8.25,5.5,3.8,3.5,3.75,4.6,4.0,3.5,3.2,3.0,15.75,69.6
882,trice,2.25,26.75,2.0,2.0,2.0,2.0,2.0,2.0,3.8,2.25,2.25,3.2
883,nytimes connections,0.25,0.0,0.2,0.5,0.5,0.2,0.25,0.5,0.0,0.0,21.0,80.8
884,nyt spelling bee forum,84.5,43.5,57.8,71.75,46.25,40.8,47.5,61.75,41.0,34.0,37.0,31.8
885,wordle unlimited unblocked,7.25,22.5,18.8,18.5,26.75,42.2,55.25,41.5,51.8,81.0,28.5,5.4
886,connections game nyt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.75,36.8
887,mashable wordle today,14.5,13.75,26.6,28.5,35.5,44.0,49.25,47.75,62.6,63.5,72.25,63.0
888,student loan forgiveness,39.0,16.5,34.0,18.75,6.25,5.6,8.75,7.0,6.4,9.0,20.0,6.6
889,lauren fox send for me,0.0,45.0,13.0,0.0,5.25,9.2,0.0,7.0,12.2,0.0,0.0,0.0
890,loldle,69.0,74.5,51.8,37.25,35.75,44.6,68.5,79.75,60.8,54.75,45.5,37.4
891,wordle calcle,13.75,7.5,0.0,19.5,23.75,25.0,36.75,31.25,28.8,62.0,47.75,46.6
892,eldrow,11.25,12.25,16.4,14.25,9.75,12.6,10.75,9.5,38.0,64.75,51.0,41.4
893,powerlanguage co uk wordle,86.75,87.0,73.6,65.5,63.75,62.0,51.5,50.5,51.4,52.25,45.5,43.0
894,play quordle,91.25,79.75,76.6,74.75,62.5,62.8,63.25,56.0,56.0,46.5,50.5,33.8
895,music discord,45.5,44.25,59.4,51.75,47.0,43.6,79.5,56.25,50.8,45.75,57.5,59.4
896,youtube music bot,16.75,20.25,70.4,42.5,38.75,39.4,55.25,32.25,38.6,24.75,36.5,39.0
897,youtube music,83.0,83.5,85.4,84.75,88.25,80.0,84.5,83.75,82.4,81.0,76.5,71.8
898,youtube music discord bot,17.0,20.0,69.6,42.5,30.75,30.2,51.5,41.25,36.6,20.5,32.75,58.6
899,youtube bot discord,23.75,29.75,76.2,52.5,44.0,43.0,52.75,41.5,38.2,32.5,46.5,48.8
900,best music discord bot,35.25,38.75,39.4,48.0,27.0,34.8,65.75,49.75,23.0,31.5,33.75,48.2
901,spotify,43.0,45.0,45.8,59.0,44.75,47.8,45.25,45.75,46.0,44.75,39.75,37.4
902,hydra,81.75,71.0,66.8,70.0,71.0,68.8,54.25,43.25,41.6,42.5,40.75,41.8
903,hydra bot music,43.0,27.25,50.4,36.5,38.5,35.6,55.25,20.25,16.0,31.25,2.75,18.2
904,hydra bot,73.25,65.0,69.8,60.25,61.75,53.8,57.25,22.75,15.2,13.25,14.0,9.8
905,discord music bot spotify,19.25,38.75,47.4,46.5,38.0,26.4,73.25,50.5,53.2,38.0,38.5,36.2
906,spotify bot discord,58.25,66.75,70.2,64.25,60.0,57.2,80.25,57.0,64.8,43.75,61.25,63.4
907,add music bot to discord,49.75,63.75,38.6,66.75,50.25,62.4,55.5,68.0,49.8,60.5,46.5,48.2
908,discord music bot 2022,22.0,22.0,55.0,25.5,30.25,19.2,18.0,11.75,1.4,3.75,0.0,0.0
909,discord music bot 2023,3.0,0.0,2.8,3.0,0.0,8.4,42.25,23.0,17.4,18.75,17.75,35.2
910,best discord music bot 2023,0.0,31.5,5.6,5.0,5.25,18.4,35.0,0.0,5.4,12.5,15.5,0.0
911,best music bot for discord 2023,18.5,0.0,32.2,0.0,6.75,16.8,13.25,24.75,23.8,19.25,20.0,6.2
912,chrome music lab,31.25,66.0,70.4,66.25,59.25,75.4,81.0,75.0,71.8,85.25,30.25,13.0
913,ear tensifier,10.0,7.25,16.2,5.5,31.5,12.6,36.75,14.75,40.0,12.25,31.0,23.6
914,music bot for discord 2023,0.0,3.25,0.0,0.0,0.0,8.2,21.0,9.5,12.2,15.0,24.5,25.8
915,nero bot,0.0,4.25,14.6,20.5,2.75,7.8,21.75,9.25,43.0,34.5,50.0,45.0
916,music bot that plays youtube,28.25,29.5,39.8,50.75,28.75,27.0,50.25,51.25,38.2,47.0,45.5,38.6
917,discord music bot that supports youtube,12.75,0.0,17.0,27.75,10.0,6.6,36.75,8.0,12.4,0.0,18.0,16.4
918,maki music bot,29.5,0.0,30.6,17.0,9.25,12.0,51.5,40.0,14.4,0.0,19.25,17.8
919,discord bot for music,53.5,54.25,69.2,68.5,54.75,31.4,80.0,50.0,39.2,40.25,52.0,37.6
920,music bot in discord,43.25,39.0,63.0,69.5,30.75,46.2,66.25,45.0,57.0,31.75,61.75,62.2
921,spotify discord bot,31.75,46.75,57.8,59.25,51.75,45.4,78.5,60.25,53.4,48.25,58.0,56.4
922,music bot discord 2022,22.0,22.0,55.0,25.5,30.25,19.2,18.0,11.75,1.4,3.75,0.0,0.0
923,discord music bot commands,40.25,27.25,55.6,34.0,31.75,21.8,72.25,13.5,41.4,24.75,22.75,24.6
924,how to add music bot to discord,53.5,39.5,48.8,66.25,33.75,69.0,51.0,56.0,62.4,21.25,69.0,58.4
925,discord hydra bot,51.25,57.75,64.8,58.0,47.5,37.8,55.5,27.5,14.4,13.75,23.0,10.2
926,hydra music bot,43.0,27.25,50.4,36.5,38.5,35.6,55.25,20.25,16.0,31.25,2.75,18.0
927,mee6 bot discord,80.25,64.25,68.0,60.75,44.75,60.4,67.75,64.25,59.8,52.5,64.5,55.6
928,greenbot,12.25,17.0,18.0,27.0,0.0,16.8,47.5,50.5,13.2,26.5,26.5,31.8
929,music bot discord youtube supported,41.5,0.0,15.0,12.75,0.0,26.4,0.0,0.0,18.8,13.0,17.0,0.0
930,jockey music discord bot,2.75,0.75,0.0,0.0,1.5,0.6,1.5,1.0,0.0,3.5,3.5,21.6
931,maki discord bot,37.25,30.75,18.6,28.0,11.25,30.8,50.5,41.75,38.6,30.5,43.75,55.4
932,karuta,77.25,55.5,52.4,46.0,66.0,68.2,72.75,69.5,65.8,60.0,52.0,50.8
933,jockie music discord,7.25,9.25,20.0,22.5,4.0,12.4,26.75,10.5,21.2,24.25,26.75,42.6
934,bot fly removal,77.0,74.75,53.6,52.25,39.0,24.4,36.75,50.0,31.4,45.0,64.25,68.2
935,bot fly larva,69.75,76.25,37.6,41.75,41.0,29.8,41.75,26.5,23.8,35.5,29.0,36.6
936,bot flies,79.75,64.75,42.8,37.75,29.75,26.4,31.25,20.25,35.8,43.0,52.0,74.6
937,botfly,80.25,55.75,40.6,43.5,33.25,24.6,29.0,24.0,29.6,39.0,36.25,53.0
938,what is bot fly,48.25,38.75,49.2,31.75,0.0,5.0,20.0,44.75,41.6,48.0,52.75,34.4
939,bot fly bite,20.25,10.0,8.8,11.75,4.25,6.2,0.0,4.75,8.2,13.25,20.25,37.8
940,bot fly larvae,49.5,30.75,8.8,19.0,21.5,14.6,18.75,13.75,9.2,13.75,35.25,46.8
941,bot fly cat,46.25,26.25,9.6,5.0,4.0,5.2,17.5,14.25,26.2,46.0,34.75,35.8
942,what is a bot fly,12.0,26.75,12.4,15.0,22.25,6.0,8.0,15.0,14.2,22.75,38.5,44.0
943,bot fly on dog,9.25,15.0,12.6,2.0,0.0,9.4,5.0,7.0,4.4,14.5,12.75,26.6
944,horse fly,53.25,34.0,17.4,13.0,11.25,11.2,13.0,17.75,27.2,46.25,59.75,77.6
945,bot fly eggs,28.5,40.25,43.6,43.5,4.5,11.2,4.5,22.25,0.0,28.25,17.5,13.8
946,bot fly in skin,18.25,0.0,0.0,6.25,46.0,20.2,0.0,32.0,8.0,20.0,15.5,28.8
947,bot fly in dog,8.25,10.5,0.0,0.0,4.75,3.2,0.0,2.0,0.0,9.5,10.0,24.8
948,bot fly worm,28.75,7.0,22.2,23.5,0.0,41.0,13.25,19.75,25.8,45.25,11.0,45.0
949,bot fly symptoms,21.75,8.5,6.0,9.5,0.0,11.0,30.5,15.5,20.8,16.25,42.5,27.2
950,bot fly on cat,23.75,5.5,5.4,0.0,8.0,12.6,2.75,9.75,0.0,17.5,17.25,37.2
951,bot fly in cat,13.25,2.5,3.0,11.75,0.0,8.8,0.0,2.25,0.0,3.25,13.5,28.8
952,black fly,55.25,46.5,39.4,40.75,28.75,30.4,36.5,38.5,44.4,68.0,62.75,76.4
953,bot fly bites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25,6.0,9.25,38.75,37.2
954,bot fly in human,65.25,0.0,6.8,0.0,24.75,7.0,19.0,18.25,26.6,33.5,15.0,40.4
955,bot fly location,22.75,6.25,20.0,0.0,27.0,21.8,12.75,23.0,11.4,36.0,18.25,14.4
956,deer fly,46.5,30.5,19.2,15.25,15.5,14.8,14.0,18.25,24.2,50.0,63.75,86.6
957,bot fly removal human,0.0,0.0,5.4,11.5,0.0,0.0,4.75,6.0,0.0,0.0,8.75,28.8
958,bot fly pop,3.0,3.0,0.0,7.5,0.0,3.8,5.0,0.0,0.0,47.75,26.25,0.0
959,what is a bot fly pop,5.75,9.5,34.2,6.0,22.5,6.6,8.0,0.0,7.0,4.0,31.25,3.8
960,bot fly region,6.75,0.0,0.0,23.0,0.0,5.4,10.75,0.0,5.2,14.25,25.0,13.0
961,where are botflies found in the united states,11.0,6.75,18.0,0.0,0.0,0.0,13.75,0.0,0.0,10.75,15.75,20.0
962,wolf worm,28.5,34.75,63.8,49.0,27.5,45.2,36.75,36.0,62.0,46.25,55.75,60.6
963,jiggers,32.5,33.25,23.6,22.75,22.75,15.0,21.5,20.25,25.8,28.5,28.75,43.8
964,bot flu,9.25,42.75,25.6,9.75,60.0,19.8,12.25,39.25,9.2,31.0,0.0,0.0
965,horsefly,58.25,29.75,13.4,9.5,9.5,11.4,11.5,15.5,16.8,43.75,66.0,83.2
966,sheep bot fly,11.75,23.5,0.0,25.0,12.25,0.0,0.0,30.25,0.0,0.0,0.0,0.0
967,nasal bot fly,0.0,4.0,4.0,6.0,2.0,2.6,0.0,4.25,3.8,3.25,3.0,21.6
968,bot fly knife,20.75,11.75,11.6,13.75,0.0,0.0,5.5,32.5,3.6,0.0,16.25,11.4
969,bot fly larve,0.0,6.5,30.2,25.0,8.25,4.2,6.25,9.0,17.4,0.0,0.0,0.0
970,bot fly extraction,0.0,0.0,0.8,2.25,1.0,2.4,0.0,3.0,0.0,0.0,0.0,22.4
